,Human Weight,Ball Weight,Number of Points,Minimum Cost - Our Algorithm,Minimum Cost - Shortest Distance,Distance of Path - Our Algorithm,Shortest Distance,Algorithm Path,SD Path,Cost Savings,Time to Calculate (seconds),Point 0,Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11
188,35,27.5,10,6374.317,6374.317,41.017,41.017,"[[0, 0], [9, 1], [6, 5], [4, 6], [7, 7], [10, 9], [7, 9], [6, 10], [4, 10], [2, 9], [1, 7], [0, 0]]","[[0, 0], [9, 1], [6, 5], [4, 6], [7, 7], [10, 9], [7, 9], [6, 10], [4, 10], [2, 9], [1, 7], [0, 0]]",-0.0,126.3273,"[0, 0]","[9, 1]","[6, 5]","[4, 6]","[7, 7]","[10, 9]","[7, 9]","[6, 10]","[4, 10]","[2, 9]","[1, 7]","[0, 0]"
189,185,62.5,5,8560.096,10244.302,31.185,31.009,"[[0, 0], [9, 10], [10, 6], [9, 2], [2, 1], [1, 1], [0, 0]]","[[0, 0], [1, 1], [9, 10], [10, 6], [9, 2], [2, 1], [0, 0]]",1684.206,1.4353,"[0, 0]","[9, 10]","[10, 6]","[9, 2]","[2, 1]","[1, 1]","[0, 0]",,,,,
190,165,90.0,6,8481.761,8481.761,23.248,23.248,"[[0, 0], [7, 1], [8, 6], [6, 6], [5, 6], [3, 2], [3, 2], [0, 0]]","[[0, 0], [7, 1], [8, 6], [6, 6], [5, 6], [3, 2], [3, 2], [0, 0]]",0.0,0.016,"[0, 0]","[7, 1]","[8, 6]","[6, 6]","[5, 6]","[3, 2]","[3, 2]","[0, 0]",,,,
191,195,25.0,9,10069.028,11349.092,37.387,36.993,"[[0, 0], [4, 9], [6, 6], [10, 8], [9, 0], [8, 2], [5, 2], [5, 1], [5, 1], [3, 1], [0, 0]]","[[0, 0], [3, 1], [5, 2], [6, 6], [4, 9], [10, 8], [8, 2], [9, 0], [5, 1], [5, 1], [0, 0]]",1280.064,10.4887,"[0, 0]","[4, 9]","[6, 6]","[10, 8]","[9, 0]","[8, 2]","[5, 2]","[5, 1]","[5, 1]","[3, 1]","[0, 0]",
192,135,82.5,3,6745.77,7119.627,28.661,28.354,"[[0, 0], [9, 10], [7, 8], [2, 7], [0, 0]]","[[0, 0], [7, 8], [9, 10], [2, 7], [0, 0]]",373.857,0.1125,"[0, 0]","[9, 10]","[7, 8]","[2, 7]","[0, 0]",,,,,,,
193,55,40.0,9,6945.699,8433.454,36.76,35.892,"[[0, 0], [2, 9], [9, 8], [9, 6], [8, 4], [9, 1], [7, 3], [6, 3], [4, 5], [1, 1], [0, 0]]","[[0, 0], [1, 1], [4, 5], [2, 9], [9, 8], [9, 6], [8, 4], [9, 1], [7, 3], [6, 3], [0, 0]]",1487.755,9.9295,"[0, 0]","[2, 9]","[9, 8]","[9, 6]","[8, 4]","[9, 1]","[7, 3]","[6, 3]","[4, 5]","[1, 1]","[0, 0]",
194,75,7.5,8,3151.312,3357.363,32.451,32.416,"[[0, 0], [2, 7], [6, 5], [10, 8], [10, 7], [7, 1], [6, 0], [3, 1], [1, 1], [0, 0]]","[[0, 0], [1, 1], [2, 7], [6, 5], [10, 8], [10, 7], [7, 1], [6, 0], [3, 1], [0, 0]]",206.051,1.1818,"[0, 0]","[2, 7]","[6, 5]","[10, 8]","[10, 7]","[7, 1]","[6, 0]","[3, 1]","[1, 1]","[0, 0]",,
195,115,7.5,8,3325.374,3325.374,24.946,24.946,"[[0, 0], [2, 7], [4, 5], [8, 6], [5, 3], [3, 3], [2, 1], [2, 1], [2, 1], [0, 0]]","[[0, 0], [2, 7], [4, 5], [8, 6], [5, 3], [3, 3], [2, 1], [2, 1], [2, 1], [0, 0]]",-0.0,1.1095,"[0, 0]","[2, 7]","[4, 5]","[8, 6]","[5, 3]","[3, 3]","[2, 1]","[2, 1]","[2, 1]","[0, 0]",,
196,150,92.5,4,5202.063,5414.898,19.434,18.047,"[[0, 0], [2, 8], [1, 4], [3, 2], [1, 2], [0, 0]]","[[0, 0], [3, 2], [2, 8], [1, 4], [1, 2], [0, 0]]",212.835,0.004,"[0, 0]","[2, 8]","[1, 4]","[3, 2]","[1, 2]","[0, 0]",,,,,,
197,110,7.5,5,4078.025,4078.025,32.057,32.057,"[[0, 0], [6, 0], [10, 0], [8, 9], [4, 7], [3, 3], [0, 0]]","[[0, 0], [6, 0], [10, 0], [8, 9], [4, 7], [3, 3], [0, 0]]",0.0,0.002,"[0, 0]","[6, 0]","[10, 0]","[8, 9]","[4, 7]","[3, 3]","[0, 0]",,,,,
198,120,97.5,9,15171.684,15171.684,34.287,34.287,"[[0, 0], [9, 0], [9, 9], [9, 10], [8, 9], [8, 9], [7, 8], [6, 6], [1, 5], [0, 1], [0, 0]]","[[0, 0], [9, 0], [9, 9], [9, 10], [8, 9], [8, 9], [7, 8], [6, 6], [1, 5], [0, 1], [0, 0]]",0.0,12.6185,"[0, 0]","[9, 0]","[9, 9]","[9, 10]","[8, 9]","[8, 9]","[7, 8]","[6, 6]","[1, 5]","[0, 1]","[0, 0]",
199,165,85.0,7,13467.138,13840.748,31.502,30.96,"[[0, 0], [1, 5], [0, 8], [6, 10], [7, 6], [6, 2], [5, 0], [2, 2], [0, 0]]","[[0, 0], [5, 0], [6, 2], [7, 6], [6, 10], [0, 8], [1, 5], [2, 2], [0, 0]]",373.61,0.225,"[0, 0]","[1, 5]","[0, 8]","[6, 10]","[7, 6]","[6, 2]","[5, 0]","[2, 2]","[0, 0]",,,
200,25,70.0,7,4945.564,5273.72,33.666,29.243,"[[0, 0], [4, 10], [8, 2], [4, 2], [0, 3], [2, 1], [2, 0], [1, 0], [0, 0]]","[[0, 0], [0, 3], [4, 10], [8, 2], [4, 2], [2, 1], [2, 0], [1, 0], [0, 0]]",328.156,0.126,"[0, 0]","[4, 10]","[8, 2]","[4, 2]","[0, 3]","[2, 1]","[2, 0]","[1, 0]","[0, 0]",,,
201,170,60.0,3,7938.335,7938.335,30.891,30.891,"[[0, 0], [2, 9], [9, 6], [9, 1], [0, 0]]","[[0, 0], [2, 9], [9, 6], [9, 1], [0, 0]]",0.0,0.003,"[0, 0]","[2, 9]","[9, 6]","[9, 1]","[0, 0]",,,,,,,
202,65,95.0,6,5925.549,8641.849,28.479,26.158,"[[0, 0], [10, 6], [5, 2], [1, 5], [1, 5], [1, 3], [1, 1], [0, 0]]","[[0, 0], [1, 1], [5, 2], [10, 6], [1, 5], [1, 5], [1, 3], [0, 0]]",2716.299,0.012,"[0, 0]","[10, 6]","[5, 2]","[1, 5]","[1, 5]","[1, 3]","[1, 1]","[0, 0]",,,,
203,105,32.5,6,4994.698,4994.698,27.782,27.782,"[[0, 0], [5, 0], [8, 6], [3, 9], [1, 7], [1, 4], [0, 3], [0, 0]]","[[0, 0], [5, 0], [8, 6], [3, 9], [1, 7], [1, 4], [0, 3], [0, 0]]",0.0,0.015,"[0, 0]","[5, 0]","[8, 6]","[3, 9]","[1, 7]","[1, 4]","[0, 3]","[0, 0]",,,,
204,115,62.5,7,6790.253,7399.553,23.117,22.378,"[[0, 0], [4, 6], [7, 8], [7, 8], [6, 6], [6, 4], [4, 2], [1, 2], [0, 0]]","[[0, 0], [4, 2], [6, 4], [6, 6], [7, 8], [7, 8], [4, 6], [1, 2], [0, 0]]",609.3,0.244,"[0, 0]","[4, 6]","[7, 8]","[7, 8]","[6, 6]","[6, 4]","[4, 2]","[1, 2]","[0, 0]",,,
205,45,75.0,3,3117.729,3117.729,23.064,23.064,"[[0, 0], [7, 8], [6, 6], [5, 1], [0, 0]]","[[0, 0], [7, 8], [6, 6], [5, 1], [0, 0]]",0.0,0.0009,"[0, 0]","[7, 8]","[6, 6]","[5, 1]","[0, 0]",,,,,,,
206,185,5.0,8,6972.329,6972.329,34.709,34.709,"[[0, 0], [0, 9], [4, 6], [5, 8], [8, 9], [9, 5], [7, 3], [5, 3], [4, 1], [0, 0]]","[[0, 0], [0, 9], [4, 6], [5, 8], [8, 9], [9, 5], [7, 3], [5, 3], [4, 1], [0, 0]]",-0.0,1.1527,"[0, 0]","[0, 9]","[4, 6]","[5, 8]","[8, 9]","[9, 5]","[7, 3]","[5, 3]","[4, 1]","[0, 0]",,
207,75,22.5,8,5458.34,5458.34,33.803,33.803,"[[0, 0], [9, 1], [8, 4], [7, 6], [7, 8], [9, 9], [9, 10], [6, 9], [3, 6], [0, 0]]","[[0, 0], [9, 1], [8, 4], [7, 6], [7, 8], [9, 9], [9, 10], [6, 9], [3, 6], [0, 0]]",0.0,1.1812,"[0, 0]","[9, 1]","[8, 4]","[7, 6]","[7, 8]","[9, 9]","[9, 10]","[6, 9]","[3, 6]","[0, 0]",,
208,180,85.0,7,12951.668,13894.203,31.943,30.916,"[[0, 0], [9, 4], [9, 9], [5, 10], [5, 9], [4, 8], [5, 4], [3, 2], [0, 0]]","[[0, 0], [4, 8], [5, 9], [5, 10], [9, 9], [9, 4], [5, 4], [3, 2], [0, 0]]",942.535,0.1435,"[0, 0]","[9, 4]","[9, 9]","[5, 10]","[5, 9]","[4, 8]","[5, 4]","[3, 2]","[0, 0]",,,
209,40,80.0,6,7904.971,8388.819,34.663,31.27,"[[0, 0], [10, 8], [9, 10], [4, 9], [5, 6], [4, 4], [0, 5], [0, 0]]","[[0, 0], [0, 5], [4, 9], [9, 10], [10, 8], [5, 6], [4, 4], [0, 0]]",483.848,0.014,"[0, 0]","[10, 8]","[9, 10]","[4, 9]","[5, 6]","[4, 4]","[0, 5]","[0, 0]",,,,
210,120,95.0,4,7417.471,8056.48,30.795,27.603,"[[0, 0], [8, 10], [5, 3], [4, 0], [2, 3], [0, 0]]","[[0, 0], [2, 3], [8, 10], [5, 3], [4, 0], [0, 0]]",639.009,0.001,"[0, 0]","[8, 10]","[5, 3]","[4, 0]","[2, 3]","[0, 0]",,,,,,
211,105,95.0,7,11318.763,12911.734,33.84,30.334,"[[0, 0], [9, 7], [7, 10], [2, 10], [1, 7], [1, 5], [4, 3], [2, 1], [0, 0]]","[[0, 0], [1, 5], [1, 7], [2, 10], [7, 10], [9, 7], [4, 3], [2, 1], [0, 0]]",1592.971,0.1255,"[0, 0]","[9, 7]","[7, 10]","[2, 10]","[1, 7]","[1, 5]","[4, 3]","[2, 1]","[0, 0]",,,
212,45,42.5,10,6981.351,6981.351,34.862,34.862,"[[0, 0], [8, 2], [9, 4], [10, 6], [3, 9], [0, 10], [2, 8], [2, 7], [1, 6], [1, 5], [0, 1], [0, 0]]","[[0, 0], [8, 2], [9, 4], [10, 6], [3, 9], [0, 10], [2, 8], [2, 7], [1, 6], [1, 5], [0, 1], [0, 0]]",0.0,127.2328,"[0, 0]","[8, 2]","[9, 4]","[10, 6]","[3, 9]","[0, 10]","[2, 8]","[2, 7]","[1, 6]","[1, 5]","[0, 1]","[0, 0]"
213,100,92.5,9,12831.37,15529.745,33.341,31.329,"[[0, 0], [9, 10], [9, 9], [6, 8], [6, 7], [7, 3], [8, 2], [7, 1], [3, 0], [2, 1], [0, 0]]","[[0, 0], [2, 1], [6, 7], [6, 8], [9, 10], [9, 9], [7, 3], [8, 2], [7, 1], [3, 0], [0, 0]]",2698.375,11.5305,"[0, 0]","[9, 10]","[9, 9]","[6, 8]","[6, 7]","[7, 3]","[8, 2]","[7, 1]","[3, 0]","[2, 1]","[0, 0]",
214,30,92.5,6,5722.756,7402.841,26.82,25.001,"[[0, 0], [6, 8], [5, 3], [7, 2], [5, 0], [4, 0], [2, 2], [0, 0]]","[[0, 0], [2, 2], [5, 3], [6, 8], [7, 2], [5, 0], [4, 0], [0, 0]]",1680.085,0.195,"[0, 0]","[6, 8]","[5, 3]","[7, 2]","[5, 0]","[4, 0]","[2, 2]","[0, 0]",,,,
215,95,80.0,8,12219.045,13292.857,35.693,33.785,"[[0, 0], [0, 9], [4, 10], [8, 10], [9, 6], [8, 4], [6, 5], [0, 3], [1, 2], [0, 0]]","[[0, 0], [0, 3], [0, 9], [4, 10], [8, 10], [9, 6], [8, 4], [6, 5], [1, 2], [0, 0]]",1073.812,0.9212,"[0, 0]","[0, 9]","[4, 10]","[8, 10]","[9, 6]","[8, 4]","[6, 5]","[0, 3]","[1, 2]","[0, 0]",,
216,100,57.5,6,9261.748,9261.748,37.347,37.347,"[[0, 0], [0, 8], [7, 10], [10, 5], [6, 5], [6, 2], [7, 0], [0, 0]]","[[0, 0], [0, 8], [7, 10], [10, 5], [6, 5], [6, 2], [7, 0], [0, 0]]",-0.0,0.035,"[0, 0]","[0, 8]","[7, 10]","[10, 5]","[6, 5]","[6, 2]","[7, 0]","[0, 0]",,,,
217,75,15.0,4,3012.141,3012.141,28.969,28.969,"[[0, 0], [8, 3], [8, 9], [5, 8], [4, 9], [0, 0]]","[[0, 0], [8, 3], [8, 9], [5, 8], [4, 9], [0, 0]]",-0.0,0.001,"[0, 0]","[8, 3]","[8, 9]","[5, 8]","[4, 9]","[0, 0]",,,,,,
218,50,95.0,8,14213.963,14355.047,38.768,34.673,"[[0, 0], [10, 7], [8, 5], [7, 3], [6, 5], [5, 10], [2, 9], [0, 9], [0, 4], [0, 0]]","[[0, 0], [7, 3], [6, 5], [8, 5], [10, 7], [5, 10], [2, 9], [0, 9], [0, 4], [0, 0]]",141.084,1.0593,"[0, 0]","[10, 7]","[8, 5]","[7, 3]","[6, 5]","[5, 10]","[2, 9]","[0, 9]","[0, 4]","[0, 0]",,
219,50,15.0,10,3453.502,3770.811,32.609,31.215,"[[0, 0], [0, 7], [1, 9], [7, 7], [8, 6], [6, 5], [7, 2], [4, 2], [2, 3], [0, 3], [0, 1], [0, 0]]","[[0, 0], [2, 3], [4, 2], [7, 2], [6, 5], [8, 6], [7, 7], [1, 9], [0, 7], [0, 3], [0, 1], [0, 0]]",317.309,126.0388,"[0, 0]","[0, 7]","[1, 9]","[7, 7]","[8, 6]","[6, 5]","[7, 2]","[4, 2]","[2, 3]","[0, 3]","[0, 1]","[0, 0]"
220,175,30.0,10,10387.901,10937.544,34.587,33.686,"[[0, 0], [9, 0], [8, 3], [7, 3], [5, 5], [6, 8], [5, 8], [3, 10], [1, 7], [1, 5], [1, 0], [0, 0]]","[[0, 0], [1, 0], [9, 0], [8, 3], [7, 3], [5, 5], [6, 8], [5, 8], [3, 10], [1, 7], [1, 5], [0, 0]]",549.643,124.5858,"[0, 0]","[9, 0]","[8, 3]","[7, 3]","[5, 5]","[6, 8]","[5, 8]","[3, 10]","[1, 7]","[1, 5]","[1, 0]","[0, 0]"
221,60,92.5,6,7689.853,9420.199,31.142,29.793,"[[0, 0], [9, 9], [5, 5], [5, 4], [3, 5], [0, 6], [1, 4], [0, 0]]","[[0, 0], [5, 4], [5, 5], [9, 9], [3, 5], [0, 6], [1, 4], [0, 0]]",1730.345,1.5382,"[0, 0]","[9, 9]","[5, 5]","[5, 4]","[3, 5]","[0, 6]","[1, 4]","[0, 0]",,,,
222,75,92.5,8,10861.162,13177.202,33.669,33.076,"[[0, 0], [8, 0], [10, 8], [7, 10], [6, 9], [6, 7], [6, 5], [2, 0], [0, 0], [0, 0]]","[[0, 0], [2, 0], [8, 0], [10, 8], [7, 10], [6, 9], [6, 7], [6, 5], [0, 0], [0, 0]]",2316.04,1.0947,"[0, 0]","[8, 0]","[10, 8]","[7, 10]","[6, 9]","[6, 7]","[6, 5]","[2, 0]","[0, 0]","[0, 0]",,
223,35,15.0,7,2837.164,2894.588,35.649,35.22,"[[0, 0], [7, 1], [9, 3], [9, 7], [0, 10], [3, 7], [2, 6], [0, 3], [0, 0]]","[[0, 0], [7, 1], [9, 3], [9, 7], [3, 7], [0, 10], [2, 6], [0, 3], [0, 0]]",57.425,0.1335,"[0, 0]","[7, 1]","[9, 3]","[9, 7]","[0, 10]","[3, 7]","[2, 6]","[0, 3]","[0, 0]",,,
224,70,65.0,9,13183.563,13205.164,39.14,38.615,"[[0, 0], [1, 6], [0, 8], [1, 7], [10, 10], [10, 8], [8, 2], [9, 0], [6, 0], [2, 1], [0, 0]]","[[0, 0], [1, 6], [1, 7], [0, 8], [10, 10], [10, 8], [8, 2], [9, 0], [6, 0], [2, 1], [0, 0]]",21.6,10.1335,"[0, 0]","[1, 6]","[0, 8]","[1, 7]","[10, 10]","[10, 8]","[8, 2]","[9, 0]","[6, 0]","[2, 1]","[0, 0]",
225,35,5.0,9,1831.763,1831.763,33.02,33.02,"[[0, 0], [1, 3], [4, 9], [8, 10], [8, 9], [7, 4], [8, 3], [8, 0], [7, 1], [5, 1], [0, 0]]","[[0, 0], [1, 3], [4, 9], [8, 10], [8, 9], [7, 4], [8, 3], [8, 0], [7, 1], [5, 1], [0, 0]]",-0.0,11.2368,"[0, 0]","[1, 3]","[4, 9]","[8, 10]","[8, 9]","[7, 4]","[8, 3]","[8, 0]","[7, 1]","[5, 1]","[0, 0]",
226,35,27.5,3,1696.548,1696.548,26.719,26.719,"[[0, 0], [7, 9], [0, 8], [1, 4], [0, 0]]","[[0, 0], [7, 9], [0, 8], [1, 4], [0, 0]]",0.0,0.1787,"[0, 0]","[7, 9]","[0, 8]","[1, 4]","[0, 0]",,,,,,,
227,95,60.0,10,13977.95,15055.016,41.639,39.191,"[[0, 0], [0, 7], [6, 6], [8, 10], [9, 9], [10, 4], [10, 1], [5, 0], [5, 1], [1, 3], [0, 3], [0, 0]]","[[0, 0], [5, 0], [5, 1], [10, 1], [10, 4], [9, 9], [8, 10], [6, 6], [0, 7], [1, 3], [0, 3], [0, 0]]",1077.066,125.3571,"[0, 0]","[0, 7]","[6, 6]","[8, 10]","[9, 9]","[10, 4]","[10, 1]","[5, 0]","[5, 1]","[1, 3]","[0, 3]","[0, 0]"
228,100,97.5,4,8825.273,9018.874,31.343,30.717,"[[0, 0], [9, 2], [7, 2], [1, 10], [0, 6], [0, 0]]","[[0, 0], [7, 2], [9, 2], [1, 10], [0, 6], [0, 0]]",193.601,1.4929,"[0, 0]","[9, 2]","[7, 2]","[1, 10]","[0, 6]","[0, 0]",,,,,,
229,185,85.0,6,13756.031,13756.031,32.765,32.765,"[[0, 0], [7, 1], [9, 8], [9, 10], [8, 9], [5, 5], [0, 5], [0, 0]]","[[0, 0], [7, 1], [9, 8], [9, 10], [8, 9], [5, 5], [0, 5], [0, 0]]",0.0,0.014,"[0, 0]","[7, 1]","[9, 8]","[9, 10]","[8, 9]","[5, 5]","[0, 5]","[0, 0]",,,,
230,135,65.0,7,10861.529,10861.529,33.068,33.068,"[[0, 0], [1, 3], [2, 7], [8, 10], [10, 2], [6, 2], [4, 0], [2, 0], [0, 0]]","[[0, 0], [1, 3], [2, 7], [8, 10], [10, 2], [6, 2], [4, 0], [2, 0], [0, 0]]",0.0,0.1385,"[0, 0]","[1, 3]","[2, 7]","[8, 10]","[10, 2]","[6, 2]","[4, 0]","[2, 0]","[0, 0]",,,
231,85,27.5,6,5143.093,5143.093,32.166,32.166,"[[0, 0], [1, 8], [7, 7], [10, 9], [10, 9], [8, 4], [7, 3], [0, 0]]","[[0, 0], [1, 8], [7, 7], [10, 9], [10, 9], [8, 4], [7, 3], [0, 0]]",0.0,0.0215,"[0, 0]","[1, 8]","[7, 7]","[10, 9]","[10, 9]","[8, 4]","[7, 3]","[0, 0]",,,,
232,135,7.5,5,3862.598,3862.598,25.23,25.23,"[[0, 0], [7, 2], [5, 5], [4, 6], [2, 9], [2, 6], [0, 0]]","[[0, 0], [7, 2], [5, 5], [4, 6], [2, 9], [2, 6], [0, 0]]",0.0,0.002,"[0, 0]","[7, 2]","[5, 5]","[4, 6]","[2, 9]","[2, 6]","[0, 0]",,,,,
233,65,22.5,4,3089.343,3089.343,29.594,29.594,"[[0, 0], [1, 7], [10, 7], [10, 5], [3, 3], [0, 0]]","[[0, 0], [1, 7], [10, 7], [10, 5], [3, 3], [0, 0]]",0.0,0.0,"[0, 0]","[1, 7]","[10, 7]","[10, 5]","[3, 3]","[0, 0]",,,,,,
234,140,92.5,8,15409.705,15409.705,37.757,37.757,"[[0, 0], [1, 10], [4, 9], [6, 10], [10, 3], [7, 0], [5, 3], [2, 2], [1, 0], [0, 0]]","[[0, 0], [1, 10], [4, 9], [6, 10], [10, 3], [7, 0], [5, 3], [2, 2], [1, 0], [0, 0]]",-0.0,1.0595,"[0, 0]","[1, 10]","[4, 9]","[6, 10]","[10, 3]","[7, 0]","[5, 3]","[2, 2]","[1, 0]","[0, 0]",,
235,180,57.5,7,12020.98,12020.98,33.59,33.59,"[[0, 0], [2, 10], [4, 10], [5, 7], [8, 8], [9, 6], [6, 1], [6, 0], [0, 0]]","[[0, 0], [2, 10], [4, 10], [5, 7], [8, 8], [9, 6], [6, 1], [6, 0], [0, 0]]",0.0,0.149,"[0, 0]","[2, 10]","[4, 10]","[5, 7]","[8, 8]","[9, 6]","[6, 1]","[6, 0]","[0, 0]",,,
236,170,82.5,8,13080.413,14493.684,32.277,29.861,"[[0, 0], [9, 4], [7, 7], [3, 8], [3, 5], [5, 5], [5, 4], [4, 0], [1, 1], [0, 0]]","[[0, 0], [4, 0], [5, 4], [5, 5], [9, 4], [7, 7], [3, 8], [3, 5], [1, 1], [0, 0]]",1413.271,0.9166,"[0, 0]","[9, 4]","[7, 7]","[3, 8]","[3, 5]","[5, 5]","[5, 4]","[4, 0]","[1, 1]","[0, 0]",,
237,90,47.5,4,3726.682,3747.685,22.481,21.847,"[[0, 0], [6, 8], [3, 8], [4, 7], [3, 5], [0, 0]]","[[0, 0], [3, 8], [6, 8], [4, 7], [3, 5], [0, 0]]",21.003,0.029,"[0, 0]","[6, 8]","[3, 8]","[4, 7]","[3, 5]","[0, 0]",,,,,,
238,75,70.0,4,5414.017,5827.286,30.176,28.355,"[[0, 0], [7, 8], [10, 1], [8, 1], [2, 3], [0, 0]]","[[0, 0], [8, 1], [10, 1], [7, 8], [2, 3], [0, 0]]",413.269,0.0,"[0, 0]","[7, 8]","[10, 1]","[8, 1]","[2, 3]","[0, 0]",,,,,,
239,115,70.0,8,12393.382,12393.382,33.333,33.333,"[[0, 0], [6, 1], [10, 5], [8, 9], [8, 10], [6, 10], [4, 7], [2, 8], [2, 7], [0, 0]]","[[0, 0], [6, 1], [10, 5], [8, 9], [8, 10], [6, 10], [4, 7], [2, 8], [2, 7], [0, 0]]",0.0,0.9602,"[0, 0]","[6, 1]","[10, 5]","[8, 9]","[8, 10]","[6, 10]","[4, 7]","[2, 8]","[2, 7]","[0, 0]",,
240,95,50.0,5,5761.506,5761.506,30.454,30.454,"[[0, 0], [0, 8], [6, 10], [9, 6], [5, 4], [1, 0], [0, 0]]","[[0, 0], [0, 8], [6, 10], [9, 6], [5, 4], [1, 0], [0, 0]]",0.0,0.034,"[0, 0]","[0, 8]","[6, 10]","[9, 6]","[5, 4]","[1, 0]","[0, 0]",,,,,
241,185,65.0,3,6481.505,6481.505,24.93,24.93,"[[0, 0], [10, 0], [5, 1], [0, 4], [0, 0]]","[[0, 0], [10, 0], [5, 1], [0, 4], [0, 0]]",-0.0,0.001,"[0, 0]","[10, 0]","[5, 1]","[0, 4]","[0, 0]",,,,,,,
242,155,60.0,3,6726.392,6726.392,28.114,28.114,"[[0, 0], [9, 4], [8, 8], [1, 7], [0, 0]]","[[0, 0], [9, 4], [8, 8], [1, 7], [0, 0]]",0.0,0.0,"[0, 0]","[9, 4]","[8, 8]","[1, 7]","[0, 0]",,,,,,,
243,195,22.5,9,11389.086,11598.362,41.61,39.442,"[[0, 0], [1, 10], [8, 9], [8, 8], [6, 6], [10, 2], [7, 0], [7, 1], [3, 4], [1, 3], [0, 0]]","[[0, 0], [7, 0], [7, 1], [10, 2], [6, 6], [8, 8], [8, 9], [1, 10], [3, 4], [1, 3], [0, 0]]",209.275,9.6869,"[0, 0]","[1, 10]","[8, 9]","[8, 8]","[6, 6]","[10, 2]","[7, 0]","[7, 1]","[3, 4]","[1, 3]","[0, 0]",
244,195,20.0,5,6470.73,6470.73,26.49,26.49,"[[0, 0], [6, 4], [6, 7], [7, 9], [2, 8], [3, 6], [0, 0]]","[[0, 0], [6, 4], [6, 7], [7, 9], [2, 8], [3, 6], [0, 0]]",0.0,0.187,"[0, 0]","[6, 4]","[6, 7]","[7, 9]","[2, 8]","[3, 6]","[0, 0]",,,,,
245,165,22.5,4,6775.011,6775.011,32.369,32.369,"[[0, 0], [5, 10], [7, 8], [9, 9], [8, 1], [0, 0]]","[[0, 0], [5, 10], [7, 8], [9, 9], [8, 1], [0, 0]]",0.0,0.0,"[0, 0]","[5, 10]","[7, 8]","[9, 9]","[8, 1]","[0, 0]",,,,,,
246,85,35.0,8,6318.453,6617.348,33.658,31.142,"[[0, 0], [8, 8], [2, 10], [1, 9], [0, 9], [0, 7], [0, 6], [3, 4], [3, 0], [0, 0]]","[[0, 0], [3, 0], [3, 4], [8, 8], [2, 10], [1, 9], [0, 9], [0, 7], [0, 6], [0, 0]]",298.895,0.9932,"[0, 0]","[8, 8]","[2, 10]","[1, 9]","[0, 9]","[0, 7]","[0, 6]","[3, 4]","[3, 0]","[0, 0]",,
247,70,32.5,6,3687.168,3865.565,26.925,24.401,"[[0, 0], [1, 10], [1, 9], [5, 4], [3, 5], [1, 4], [1, 0], [0, 0]]","[[0, 0], [1, 4], [1, 9], [1, 10], [3, 5], [5, 4], [1, 0], [0, 0]]",178.397,0.035,"[0, 0]","[1, 10]","[1, 9]","[5, 4]","[3, 5]","[1, 4]","[1, 0]","[0, 0]",,,,
248,155,52.5,4,7632.182,7632.182,30.024,30.024,"[[0, 0], [8, 2], [9, 9], [6, 9], [3, 8], [0, 0]]","[[0, 0], [8, 2], [9, 9], [6, 9], [3, 8], [0, 0]]",0.0,0.001,"[0, 0]","[8, 2]","[9, 9]","[6, 9]","[3, 8]","[0, 0]",,,,,,
249,155,15.0,8,6162.538,6162.538,28.699,28.699,"[[0, 0], [2, 0], [3, 0], [7, 6], [7, 10], [4, 7], [3, 8], [3, 7], [0, 2], [0, 0]]","[[0, 0], [2, 0], [3, 0], [7, 6], [7, 10], [4, 7], [3, 8], [3, 7], [0, 2], [0, 0]]",0.0,1.0368,"[0, 0]","[2, 0]","[3, 0]","[7, 6]","[7, 10]","[4, 7]","[3, 8]","[3, 7]","[0, 2]","[0, 0]",,
250,120,27.5,6,4391.284,4391.284,22.764,22.764,"[[0, 0], [5, 0], [7, 5], [5, 6], [4, 7], [4, 6], [3, 2], [0, 0]]","[[0, 0], [5, 0], [7, 5], [5, 6], [4, 7], [4, 6], [3, 2], [0, 0]]",0.0,0.0395,"[0, 0]","[5, 0]","[7, 5]","[5, 6]","[4, 7]","[4, 6]","[3, 2]","[0, 0]",,,,
251,185,22.5,10,9936.346,10102.461,39.422,36.839,"[[0, 0], [10, 1], [7, 8], [2, 9], [2, 6], [5, 6], [5, 4], [5, 2], [4, 3], [3, 2], [1, 0], [0, 0]]","[[0, 0], [2, 6], [2, 9], [7, 8], [5, 6], [5, 4], [10, 1], [5, 2], [4, 3], [3, 2], [1, 0], [0, 0]]",166.115,128.6834,"[0, 0]","[10, 1]","[7, 8]","[2, 9]","[2, 6]","[5, 6]","[5, 4]","[5, 2]","[4, 3]","[3, 2]","[1, 0]","[0, 0]"
252,140,62.5,7,11023.221,11023.221,31.382,31.382,"[[0, 0], [4, 6], [4, 9], [6, 7], [8, 6], [10, 4], [6, 0], [5, 2], [0, 0]]","[[0, 0], [4, 6], [4, 9], [6, 7], [8, 6], [10, 4], [6, 0], [5, 2], [0, 0]]",-0.0,1.5931,"[0, 0]","[4, 6]","[4, 9]","[6, 7]","[8, 6]","[10, 4]","[6, 0]","[5, 2]","[0, 0]",,,
