,Human Weight,Ball Weight,Number of Points,Minimum Cost - Our Algorithm,Minimum Cost - Shortest Distance,Distance of Path - Our Algorithm,Shortest Distance,Algorithm Path,SD Path,Cost Savings,Time to Calculate (seconds),Point 0,Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11
13,185,12.5,5,6144.613,6144.613,28.851,28.851,"[[0, 0], [5, 8], [8, 9], [7, 6], [9, 3], [6, 2], [0, 0]]","[[0, 0], [5, 8], [8, 9], [7, 6], [9, 3], [6, 2], [0, 0]]",-0.0,0.002,"[0, 0]","[5, 8]","[8, 9]","[7, 6]","[9, 3]","[6, 2]","[0, 0]",,,,,
14,105,55.0,8,6863.724,6896.888,25.543,24.944,"[[0, 0], [0, 5], [1, 5], [8, 6], [6, 5], [6, 2], [5, 0], [1, 0], [0, 0], [0, 0]]","[[0, 0], [0, 5], [1, 5], [6, 5], [8, 6], [6, 2], [5, 0], [1, 0], [0, 0], [0, 0]]",33.165,1.0777,"[0, 0]","[0, 5]","[1, 5]","[8, 6]","[6, 5]","[6, 2]","[5, 0]","[1, 0]","[0, 0]","[0, 0]",,
15,135,10.0,4,4105.774,4105.774,27.629,27.629,"[[0, 0], [8, 5], [2, 10], [0, 5], [0, 4], [0, 0]]","[[0, 0], [8, 5], [2, 10], [0, 5], [0, 4], [0, 0]]",0.0,0.012,"[0, 0]","[8, 5]","[2, 10]","[0, 5]","[0, 4]","[0, 0]",,,,,,
16,155,95.0,9,21479.966,21648.845,42.378,42.046,"[[0, 0], [10, 0], [10, 0], [9, 9], [8, 9], [1, 10], [0, 9], [5, 5], [5, 4], [3, 2], [0, 0]]","[[0, 0], [0, 9], [1, 10], [8, 9], [9, 9], [10, 0], [10, 0], [5, 5], [5, 4], [3, 2], [0, 0]]",168.878,11.4198,"[0, 0]","[10, 0]","[10, 0]","[9, 9]","[8, 9]","[1, 10]","[0, 9]","[5, 5]","[5, 4]","[3, 2]","[0, 0]",
17,165,17.5,7,5957.632,5957.632,26.398,26.398,"[[0, 0], [5, 1], [6, 4], [7, 6], [4, 10], [3, 9], [3, 9], [2, 6], [0, 0]]","[[0, 0], [5, 1], [6, 4], [7, 6], [4, 10], [3, 9], [3, 9], [2, 6], [0, 0]]",-0.0,0.2454,"[0, 0]","[5, 1]","[6, 4]","[7, 6]","[4, 10]","[3, 9]","[3, 9]","[2, 6]","[0, 0]",,,
18,45,10.0,4,1343.276,1343.276,21.488,21.488,"[[0, 0], [7, 0], [7, 1], [4, 6], [0, 2], [0, 0]]","[[0, 0], [7, 0], [7, 1], [4, 6], [0, 2], [0, 0]]",0.0,0.001,"[0, 0]","[7, 0]","[7, 1]","[4, 6]","[0, 2]","[0, 0]",,,,,,
19,35,52.5,7,4510.367,5004.838,30.479,27.23,"[[0, 0], [2, 10], [6, 10], [5, 5], [4, 2], [1, 4], [1, 3], [0, 2], [0, 0]]","[[0, 0], [4, 2], [5, 5], [6, 10], [2, 10], [1, 4], [1, 3], [0, 2], [0, 0]]",494.471,0.1065,"[0, 0]","[2, 10]","[6, 10]","[5, 5]","[4, 2]","[1, 4]","[1, 3]","[0, 2]","[0, 0]",,,
20,135,85.0,10,17870.154,18095.194,35.724,33.269,"[[0, 0], [3, 8], [3, 9], [7, 9], [9, 10], [9, 9], [9, 4], [7, 5], [4, 1], [2, 0], [1, 2], [0, 0]]","[[0, 0], [1, 2], [3, 8], [3, 9], [7, 9], [9, 10], [9, 9], [9, 4], [7, 5], [4, 1], [2, 0], [0, 0]]",225.04,135.4284,"[0, 0]","[3, 8]","[3, 9]","[7, 9]","[9, 10]","[9, 9]","[9, 4]","[7, 5]","[4, 1]","[2, 0]","[1, 2]","[0, 0]"
21,180,82.5,10,21459.237,22651.574,41.442,40.889,"[[0, 0], [1, 9], [3, 8], [4, 7], [9, 10], [8, 7], [10, 0], [7, 1], [5, 1], [3, 3], [2, 1], [0, 0]]","[[0, 0], [3, 3], [1, 9], [3, 8], [4, 7], [9, 10], [8, 7], [10, 0], [7, 1], [5, 1], [2, 1], [0, 0]]",1192.337,165.1869,"[0, 0]","[1, 9]","[3, 8]","[4, 7]","[9, 10]","[8, 7]","[10, 0]","[7, 1]","[5, 1]","[3, 3]","[2, 1]","[0, 0]"
22,80,20.0,4,3077.56,3077.56,26.463,26.463,"[[0, 0], [3, 8], [7, 10], [7, 6], [6, 4], [0, 0]]","[[0, 0], [3, 8], [7, 10], [7, 6], [6, 4], [0, 0]]",0.0,2.2357,"[0, 0]","[3, 8]","[7, 10]","[7, 6]","[6, 4]","[0, 0]",,,,,,
23,105,55.0,5,6552.571,6552.571,32.69,32.69,"[[0, 0], [0, 10], [3, 8], [10, 3], [2, 1], [2, 1], [0, 0]]","[[0, 0], [0, 10], [3, 8], [10, 3], [2, 1], [2, 1], [0, 0]]",-0.0,0.003,"[0, 0]","[0, 10]","[3, 8]","[10, 3]","[2, 1]","[2, 1]","[0, 0]",,,,,
24,130,42.5,6,6583.036,6583.036,25.942,25.942,"[[0, 0], [0, 5], [3, 8], [4, 5], [8, 5], [7, 4], [6, 3], [0, 0]]","[[0, 0], [0, 5], [3, 8], [4, 5], [8, 5], [7, 4], [6, 3], [0, 0]]",0.0,0.022,"[0, 0]","[0, 5]","[3, 8]","[4, 5]","[8, 5]","[7, 4]","[6, 3]","[0, 0]",,,,
25,105,80.0,4,6127.216,6127.216,27.776,27.776,"[[0, 0], [5, 10], [8, 6], [7, 2], [4, 2], [0, 0]]","[[0, 0], [5, 10], [8, 6], [7, 2], [4, 2], [0, 0]]",-0.0,0.002,"[0, 0]","[5, 10]","[8, 6]","[7, 2]","[4, 2]","[0, 0]",,,,,,
26,125,45.0,10,10897.52,10897.52,33.962,33.962,"[[0, 0], [3, 0], [5, 1], [10, 4], [10, 9], [4, 10], [4, 10], [3, 9], [1, 8], [1, 4], [0, 1], [0, 0]]","[[0, 0], [3, 0], [5, 1], [10, 4], [10, 9], [4, 10], [4, 10], [3, 9], [1, 8], [1, 4], [0, 1], [0, 0]]",0.0,155.0914,"[0, 0]","[3, 0]","[5, 1]","[10, 4]","[10, 9]","[4, 10]","[4, 10]","[3, 9]","[1, 8]","[1, 4]","[0, 1]","[0, 0]"
27,65,5.0,10,3108.246,3122.26,34.977,34.948,"[[0, 0], [0, 3], [2, 8], [4, 7], [6, 9], [9, 10], [6, 7], [6, 5], [2, 3], [3, 2], [4, 0], [0, 0]]","[[0, 0], [4, 0], [3, 2], [6, 5], [6, 7], [9, 10], [6, 9], [4, 7], [2, 8], [2, 3], [0, 3], [0, 0]]",14.014,130.4509,"[0, 0]","[0, 3]","[2, 8]","[4, 7]","[6, 9]","[9, 10]","[6, 7]","[6, 5]","[2, 3]","[3, 2]","[4, 0]","[0, 0]"
28,120,45.0,8,7358.438,7358.438,28.787,28.787,"[[0, 0], [5, 7], [9, 6], [10, 6], [8, 4], [9, 1], [7, 1], [7, 1], [0, 0], [0, 0]]","[[0, 0], [5, 7], [9, 6], [10, 6], [8, 4], [9, 1], [7, 1], [7, 1], [0, 0], [0, 0]]",0.0,2.8054,"[0, 0]","[5, 7]","[9, 6]","[10, 6]","[8, 4]","[9, 1]","[7, 1]","[7, 1]","[0, 0]","[0, 0]",,
29,150,32.5,5,6645.902,6835.323,31.466,29.865,"[[0, 0], [7, 10], [9, 10], [9, 7], [4, 0], [2, 2], [0, 0]]","[[0, 0], [4, 0], [9, 7], [9, 10], [7, 10], [2, 2], [0, 0]]",189.421,0.012,"[0, 0]","[7, 10]","[9, 10]","[9, 7]","[4, 0]","[2, 2]","[0, 0]",,,,,
30,180,35.0,8,9801.631,9801.631,31.393,31.393,"[[0, 0], [6, 0], [8, 0], [10, 4], [10, 4], [4, 6], [2, 8], [3, 5], [0, 3], [0, 0]]","[[0, 0], [6, 0], [8, 0], [10, 4], [10, 4], [4, 6], [2, 8], [3, 5], [0, 3], [0, 0]]",0.0,1.1045,"[0, 0]","[6, 0]","[8, 0]","[10, 4]","[10, 4]","[4, 6]","[2, 8]","[3, 5]","[0, 3]","[0, 0]",,
31,155,92.5,9,17500.943,20218.55,37.088,36.987,"[[0, 0], [0, 9], [6, 10], [8, 7], [9, 6], [10, 6], [9, 2], [5, 3], [4, 0], [1, 1], [0, 0]]","[[0, 0], [1, 1], [0, 9], [6, 10], [8, 7], [9, 6], [10, 6], [9, 2], [5, 3], [4, 0], [0, 0]]",2717.607,9.9932,"[0, 0]","[0, 9]","[6, 10]","[8, 7]","[9, 6]","[10, 6]","[9, 2]","[5, 3]","[4, 0]","[1, 1]","[0, 0]",
32,80,37.5,3,2999.88,2999.88,23.729,23.729,"[[0, 0], [1, 7], [8, 3], [4, 1], [0, 0]]","[[0, 0], [1, 7], [8, 3], [4, 1], [0, 0]]",-0.0,0.1871,"[0, 0]","[1, 7]","[8, 3]","[4, 1]","[0, 0]",,,,,,,
33,195,25.0,8,11470.285,11470.285,39.326,39.326,"[[0, 0], [1, 10], [5, 9], [7, 9], [5, 7], [6, 4], [9, 3], [10, 3], [10, 0], [0, 0]]","[[0, 0], [1, 10], [5, 9], [7, 9], [5, 7], [6, 4], [9, 3], [10, 3], [10, 0], [0, 0]]",-0.0,0.9622,"[0, 0]","[1, 10]","[5, 9]","[7, 9]","[5, 7]","[6, 4]","[9, 3]","[10, 3]","[10, 0]","[0, 0]",,
34,135,10.0,9,6871.213,6871.213,39.489,39.489,"[[0, 0], [3, 0], [10, 0], [9, 7], [10, 10], [7, 8], [3, 5], [3, 3], [1, 4], [0, 5], [0, 0]]","[[0, 0], [3, 0], [10, 0], [9, 7], [10, 10], [7, 8], [3, 5], [3, 3], [1, 4], [0, 5], [0, 0]]",-0.0,11.0783,"[0, 0]","[3, 0]","[10, 0]","[9, 7]","[10, 10]","[7, 8]","[3, 5]","[3, 3]","[1, 4]","[0, 5]","[0, 0]",
35,165,27.5,4,5646.086,5646.086,27.533,27.533,"[[0, 0], [9, 2], [9, 8], [4, 3], [3, 3], [0, 0]]","[[0, 0], [9, 2], [9, 8], [4, 3], [3, 3], [0, 0]]",0.0,0.157,"[0, 0]","[9, 2]","[9, 8]","[4, 3]","[3, 3]","[0, 0]",,,,,,
36,120,47.5,6,8054.962,8773.039,35.07,34.916,"[[0, 0], [10, 6], [10, 8], [2, 10], [3, 7], [3, 5], [0, 5], [0, 0]]","[[0, 0], [3, 5], [10, 6], [10, 8], [2, 10], [3, 7], [0, 5], [0, 0]]",718.077,0.015,"[0, 0]","[10, 6]","[10, 8]","[2, 10]","[3, 7]","[3, 5]","[0, 5]","[0, 0]",,,,
37,170,50.0,5,10153.003,10153.003,36.53,36.53,"[[0, 0], [1, 9], [9, 10], [9, 7], [10, 2], [3, 3], [0, 0]]","[[0, 0], [1, 9], [9, 10], [9, 7], [10, 2], [3, 3], [0, 0]]",0.0,0.002,"[0, 0]","[1, 9]","[9, 10]","[9, 7]","[10, 2]","[3, 3]","[0, 0]",,,,,
38,180,2.5,10,7165.582,7165.582,37.511,37.511,"[[0, 0], [2, 0], [10, 0], [6, 4], [5, 5], [8, 8], [6, 9], [5, 8], [2, 9], [0, 4], [0, 4], [0, 0]]","[[0, 0], [2, 0], [10, 0], [6, 4], [5, 5], [8, 8], [6, 9], [5, 8], [2, 9], [0, 4], [0, 4], [0, 0]]",-0.0,136.6874,"[0, 0]","[2, 0]","[10, 0]","[6, 4]","[5, 5]","[8, 8]","[6, 9]","[5, 8]","[2, 9]","[0, 4]","[0, 4]","[0, 0]"
39,100,57.5,7,7217.599,8086.49,30.823,29.975,"[[0, 0], [9, 10], [8, 9], [5, 10], [3, 7], [1, 6], [2, 5], [1, 4], [0, 0]]","[[0, 0], [2, 5], [8, 9], [9, 10], [5, 10], [3, 7], [1, 6], [1, 4], [0, 0]]",868.891,1.1496,"[0, 0]","[9, 10]","[8, 9]","[5, 10]","[3, 7]","[1, 6]","[2, 5]","[1, 4]","[0, 0]",,,
40,175,77.5,3,2350.402,2623.125,9.236,9.123,"[[0, 0], [0, 4], [0, 2], [1, 0], [0, 0]]","[[0, 0], [0, 2], [0, 4], [1, 0], [0, 0]]",272.722,0.002,"[0, 0]","[0, 4]","[0, 2]","[1, 0]","[0, 0]",,,,,,,
41,45,32.5,6,3935.727,3935.727,31.023,31.023,"[[0, 0], [9, 0], [7, 5], [9, 8], [6, 7], [6, 7], [3, 6], [0, 0]]","[[0, 0], [9, 0], [7, 5], [9, 8], [6, 7], [6, 7], [3, 6], [0, 0]]",-0.0,0.014,"[0, 0]","[9, 0]","[7, 5]","[9, 8]","[6, 7]","[6, 7]","[3, 6]","[0, 0]",,,,
42,140,42.5,7,11022.266,11022.266,40.251,40.251,"[[0, 0], [1, 9], [5, 9], [9, 9], [7, 5], [10, 0], [6, 3], [4, 4], [0, 0]]","[[0, 0], [1, 9], [5, 9], [9, 9], [7, 5], [10, 0], [6, 3], [4, 4], [0, 0]]",-0.0,0.1061,"[0, 0]","[1, 9]","[5, 9]","[9, 9]","[7, 5]","[10, 0]","[6, 3]","[4, 4]","[0, 0]",,,
43,95,60.0,7,9927.41,9927.41,33.488,33.488,"[[0, 0], [0, 9], [2, 9], [4, 10], [4, 9], [10, 7], [7, 3], [5, 1], [0, 0]]","[[0, 0], [0, 9], [2, 9], [4, 10], [4, 9], [10, 7], [7, 3], [5, 1], [0, 0]]",-0.0,0.1262,"[0, 0]","[0, 9]","[2, 9]","[4, 10]","[4, 9]","[10, 7]","[7, 3]","[5, 1]","[0, 0]",,,
44,25,92.5,10,14800.555,14800.555,36.79,36.79,"[[0, 0], [1, 10], [3, 8], [6, 8], [7, 9], [9, 9], [10, 4], [9, 4], [8, 1], [7, 1], [2, 1], [0, 0]]","[[0, 0], [1, 10], [3, 8], [6, 8], [7, 9], [9, 9], [10, 4], [9, 4], [8, 1], [7, 1], [2, 1], [0, 0]]",-0.0,123.2943,"[0, 0]","[1, 10]","[3, 8]","[6, 8]","[7, 9]","[9, 9]","[10, 4]","[9, 4]","[8, 1]","[7, 1]","[2, 1]","[0, 0]"
45,125,85.0,7,12444.822,12444.822,30.626,30.626,"[[0, 0], [2, 5], [4, 8], [9, 9], [7, 5], [7, 4], [8, 2], [6, 0], [0, 0]]","[[0, 0], [2, 5], [4, 8], [9, 9], [7, 5], [7, 4], [8, 2], [6, 0], [0, 0]]",-0.0,1.6948,"[0, 0]","[2, 5]","[4, 8]","[9, 9]","[7, 5]","[7, 4]","[8, 2]","[6, 0]","[0, 0]",,,
46,45,7.5,4,1404.819,1404.819,24.19,24.19,"[[0, 0], [6, 9], [7, 9], [6, 6], [6, 4], [0, 0]]","[[0, 0], [6, 9], [7, 9], [6, 6], [6, 4], [0, 0]]",0.0,0.003,"[0, 0]","[6, 9]","[7, 9]","[6, 6]","[6, 4]","[0, 0]",,,,,,
47,165,30.0,9,8943.208,8943.208,32.987,32.987,"[[0, 0], [9, 1], [7, 6], [8, 7], [9, 9], [8, 9], [6, 8], [6, 6], [2, 5], [1, 1], [0, 0]]","[[0, 0], [9, 1], [7, 6], [8, 7], [9, 9], [8, 9], [6, 8], [6, 6], [2, 5], [1, 1], [0, 0]]",0.0,11.1993,"[0, 0]","[9, 1]","[7, 6]","[8, 7]","[9, 9]","[8, 9]","[6, 8]","[6, 6]","[2, 5]","[1, 1]","[0, 0]",
48,170,80.0,5,7984.672,9515.603,27.109,26.188,"[[0, 0], [10, 8], [8, 7], [7, 5], [2, 2], [2, 0], [0, 0]]","[[0, 0], [2, 2], [8, 7], [10, 8], [7, 5], [2, 0], [0, 0]]",1530.931,0.176,"[0, 0]","[10, 8]","[8, 7]","[7, 5]","[2, 2]","[2, 0]","[0, 0]",,,,,
49,90,77.5,4,6372.491,6773.143,32.954,30.994,"[[0, 0], [10, 10], [7, 6], [1, 7], [2, 3], [0, 0]]","[[0, 0], [1, 7], [10, 10], [7, 6], [2, 3], [0, 0]]",400.652,0.001,"[0, 0]","[10, 10]","[7, 6]","[1, 7]","[2, 3]","[0, 0]",,,,,,
50,140,90.0,9,17571.439,17639.314,34.557,34.528,"[[0, 0], [0, 8], [3, 10], [3, 9], [4, 9], [8, 8], [8, 2], [9, 1], [8, 0], [4, 0], [0, 0]]","[[0, 0], [0, 8], [3, 9], [3, 10], [4, 9], [8, 8], [8, 2], [9, 1], [8, 0], [4, 0], [0, 0]]",67.875,11.9181,"[0, 0]","[0, 8]","[3, 10]","[3, 9]","[4, 9]","[8, 8]","[8, 2]","[9, 1]","[8, 0]","[4, 0]","[0, 0]",
51,135,37.5,6,5394.859,5394.859,24.241,24.241,"[[0, 0], [2, 4], [7, 4], [10, 2], [5, 1], [3, 2], [1, 0], [0, 0]]","[[0, 0], [2, 4], [7, 4], [10, 2], [5, 1], [3, 2], [1, 0], [0, 0]]",0.0,0.195,"[0, 0]","[2, 4]","[7, 4]","[10, 2]","[5, 1]","[3, 2]","[1, 0]","[0, 0]",,,,
52,160,20.0,7,6475.318,6773.348,31.476,29.851,"[[0, 0], [10, 6], [5, 7], [2, 7], [0, 5], [2, 5], [3, 4], [2, 4], [0, 0]]","[[0, 0], [2, 4], [3, 4], [10, 6], [5, 7], [2, 7], [2, 5], [0, 5], [0, 0]]",298.03,0.1055,"[0, 0]","[10, 6]","[5, 7]","[2, 7]","[0, 5]","[2, 5]","[3, 4]","[2, 4]","[0, 0]",,,
53,160,75.0,4,6691.189,8373.961,27.271,27.213,"[[0, 0], [10, 9], [6, 6], [5, 5], [1, 0], [0, 0]]","[[0, 0], [5, 5], [6, 6], [10, 9], [1, 0], [0, 0]]",1682.772,0.002,"[0, 0]","[10, 9]","[6, 6]","[5, 5]","[1, 0]","[0, 0]",,,,,,
